# JCG official tidal-datum table (海上保安庁「平均水面、最高水面及び最低水面一覧表」).
# One row per gazetted port nationwide. Parsed from the public PDF by
# scripts/parse_jcg_datum_table.py (word-position extraction; no transcription).
#  z0_msl_m         = 平均水面下(Z0) = 平均水面 − 最低水面(基本水準面), MSL above chart datum.
#  cd_ellipsoidal_m = 最低水面の楕円体高 (GRS80 ellipsoid), where GNSS-published (else blank).
#  tp_minus_cd_m    = z0_msl_m − ζ_MSL(≈0.03 m Kanto): T.P. − 基本水準面 (approx.; for the
#                     exact value use cd_ellipsoidal_m with a GSI geoid, see docs/vertical_datum.md).
# Source: https://www1.kaiho.mlit.go.jp/TIDE/datum/index.pdf
station,name_ja,lon,lat,tp_minus_cd_m,z0_msl_m,cd_ellipsoidal_m,source
jcg0000,,123.7667,24.0667,0.97,1.0,,jcg_heights_table
jcg0001,,141.45,24.2333,0.63,0.66,,jcg_heights_table
jcg0002,黒島,124.0017,24.2536,1.06,1.09,24.59,jcg_heights_table
jcg0003,仲間,123.8833,24.2667,1.01,1.04,,jcg_heights_table
jcg0004,,153.9667,24.3,0.32,0.35,,jcg_heights_table
jcg0005,石垣,124.1639,24.3326,1.04,1.07,25.6,jcg_heights_table
jcg0006,船浮,123.7333,24.3333,0.99,1.02,,jcg_heights_table
jcg0007,,123.9915,24.3442,1.04,1.07,25.62,jcg_heights_table
jcg0008,白浜,123.75,24.3667,1.0,1.03,,jcg_heights_table
jcg0009,,123.7461,24.3886,1.02,1.05,25.13,jcg_heights_table
jcg0010,船浦,123.8167,24.4,0.93,0.96,25.51,jcg_heights_table
jcg0011,比川,123.0,24.4167,0.93,0.96,,jcg_heights_table
jcg0012,,122.9333,24.45,0.97,1.0,,jcg_heights_table
jcg0013,,124.2833,24.5,0.97,1.0,27.08,jcg_heights_table
jcg0014,,124.7167,24.65,1.05,1.08,,jcg_heights_table
jcg0015,,124.7017,24.6694,1.0,1.03,28.19,jcg_heights_table
jcg0016,長山,125.2,24.8,1.06,1.09,,jcg_heights_table
jcg0017,西,141.3,24.8,0.62,0.65,,jcg_heights_table
jcg0018,平良,125.2833,24.8167,1.0,1.03,,jcg_heights_table
jcg0019,,125.2167,24.8333,1.0,1.03,,jcg_heights_table
jcg0020,池間,125.248,24.9244,1.0,1.03,28.58,jcg_heights_table
jcg0021,,141.2667,25.4333,0.63,0.66,,jcg_heights_table
jcg0022,,123.4667,25.75,1.02,1.05,,jcg_heights_table
jcg0023,,131.2333,25.8167,0.95,0.98,,jcg_heights_table
jcg0024,,123.6833,25.9333,1.03,1.06,,jcg_heights_table
jcg0025,,124.5833,25.9333,1.07,1.1,,jcg_heights_table
jcg0026,,127.6681,26.1294,1.15,1.18,29.73,jcg_heights_table
jcg0027,奥武,127.7667,26.1333,1.17,1.2,,jcg_heights_table
jcg0028,徳仁,127.8833,26.15,1.17,1.2,,jcg_heights_table
jcg0029,津波古,127.8242,26.1783,1.17,1.2,29.72,jcg_heights_table
jcg0030,,127.2833,26.1833,1.14,1.17,,jcg_heights_table
jcg0031,,127.3667,26.2,1.17,1.2,,jcg_heights_table
jcg0032,,127.6654,26.2132,1.15,1.18,30.51,jcg_heights_table
jcg0033,,127.3,26.2333,1.13,1.16,,jcg_heights_table
jcg0034,,127.3167,26.2333,1.13,1.16,,jcg_heights_table
jcg0035,,127.7333,26.2833,1.15,1.18,,jcg_heights_table
jcg0036,泡瀬,127.8333,26.3167,1.17,1.2,,jcg_heights_table
jcg0037,平敷屋,127.9167,26.3167,1.14,1.17,,jcg_heights_table
jcg0038,儀間,126.7667,26.3333,1.14,1.17,,jcg_heights_table
jcg0039,,127.9667,26.3333,1.14,1.17,,jcg_heights_table
jcg0040,,126.75,26.35,1.14,1.17,,jcg_heights_table
jcg0041,仲里,126.8167,26.35,1.14,1.17,,jcg_heights_table
jcg0042,,127.1333,26.3667,1.11,1.14,,jcg_heights_table
jcg0043,都屋,127.7167,26.3833,1.13,1.16,,jcg_heights_table
jcg0044,石川,127.8292,26.4281,1.14,1.17,31.13,jcg_heights_table
jcg0045,金武,127.9143,26.4476,1.14,1.17,31.13,jcg_heights_table
jcg0046,,127.8,26.45,1.13,1.16,,jcg_heights_table
jcg0047,恩納,127.85,26.5,1.13,1.16,,jcg_heights_table
jcg0048,二見,128.0333,26.55,1.15,1.18,,jcg_heights_table
jcg0049,粟国,127.2333,26.5833,1.11,1.14,,jcg_heights_table
jcg0050,名護,127.9833,26.5833,1.12,1.15,,jcg_heights_table
jcg0051,,126.8333,26.6,1.11,1.14,,jcg_heights_table
jcg0052,,128.0333,26.6333,1.08,1.11,,jcg_heights_table
jcg0053,,128.1667,26.6333,1.12,1.15,,jcg_heights_table
jcg0054,沖,142.1667,26.6333,0.67,0.7,,jcg_heights_table
jcg0055,,127.9,26.6667,1.12,1.15,,jcg_heights_table
jcg0056,,127.9964,26.6771,1.07,1.1,31.83,jcg_heights_table
jcg0057,伊江,127.8,26.7,1.12,1.15,32.24,jcg_heights_table
jcg0058,,128.1833,26.75,1.07,1.1,,jcg_heights_table
jcg0059,安田,128.3167,26.75,1.07,1.1,,jcg_heights_table
jcg0060,,128.25,26.85,1.03,1.06,,jcg_heights_table
jcg0061,,127.95,26.9167,1.05,1.08,,jcg_heights_table
jcg0062,,127.9667,27.0333,1.05,1.08,,jcg_heights_table
jcg0063,供利,128.401,27.0372,1.05,1.08,30.5,jcg_heights_table
jcg0064,茶花,128.4139,27.0513,1.05,1.08,30.35,jcg_heights_table
jcg0065,二見,142.2,27.1,0.65,0.68,,jcg_heights_table
jcg0066,和泊,128.6579,27.3946,1.08,1.11,29.97,jcg_heights_table
jcg0067,聟島,142.1333,27.6667,0.65,0.68,,jcg_heights_table
jcg0068,亀徳,129.0231,27.7383,1.08,1.11,28.94,jcg_heights_table
jcg0069,,128.8916,27.8127,1.16,1.19,29.93,jcg_heights_table
jcg0070,,128.2333,27.8667,1.17,1.2,,jcg_heights_table
jcg0071,,128.9667,27.8667,1.08,1.11,,jcg_heights_table
jcg0072,,129.2333,28.0333,1.15,1.18,,jcg_heights_table
jcg0073,,129.3139,28.1444,1.14,1.17,28.96,jcg_heights_table
jcg0074,,129.3146,28.1463,1.14,1.17,28.96,jcg_heights_table
jcg0075,,129.25,28.2333,1.13,1.16,,jcg_heights_table
jcg0076,,129.4167,28.2333,1.15,1.18,,jcg_heights_table
jcg0077,,129.1667,28.25,1.16,1.19,,jcg_heights_table
jcg0078,宇検,129.2333,28.2833,1.15,1.18,,jcg_heights_table
jcg0079,小湊,129.5333,28.3167,1.16,1.19,,jcg_heights_table
jcg0080,湾,129.9333,28.3167,1.06,1.09,,jcg_heights_table
jcg0081,早町,130.0032,28.3369,1.09,1.12,25.88,jcg_heights_table
jcg0082,,129.4947,28.3953,1.12,1.15,,jcg_heights_table
jcg0083,名瀬,129.4956,28.3994,1.12,1.15,29.01,jcg_heights_table
jcg0084,,129.65,28.45,1.17,1.2,,jcg_heights_table
jcg0085,,128.9833,28.8,1.24,1.27,,jcg_heights_table
jcg0086,前籠,129.2058,29.1558,1.15,1.18,30.26,jcg_heights_table
jcg0087,,129.5961,29.4545,1.22,1.25,29.43,jcg_heights_table
jcg0088,切石,129.7114,29.6114,1.2,1.23,29.55,jcg_heights_table
jcg0089,,129.5319,29.6808,1.22,1.25,30.21,jcg_heights_table
jcg0090,,129.8533,29.8369,1.22,1.25,,jcg_heights_table
jcg0091,,129.8494,29.8414,1.22,1.25,29.94,jcg_heights_table
jcg0092,,129.9149,29.992,1.22,1.25,30.12,jcg_heights_table
jcg0093,栗生,130.4167,30.2667,1.38,1.41,,jcg_heights_table
jcg0094,安房,130.65,30.3167,1.2,1.23,,jcg_heights_table
jcg0095,,130.5706,30.4322,1.28,1.31,29.72,jcg_heights_table
jcg0096,,130.1906,30.4632,1.29,1.32,30.0,jcg_heights_table
jcg0097,,130.5,30.4667,1.28,1.31,,jcg_heights_table
jcg0098,島間,130.8667,30.4667,1.17,1.2,,jcg_heights_table
jcg0099,熊野,130.9667,30.4667,1.17,1.2,,jcg_heights_table
jcg0100,,140.2833,30.4833,0.74,0.77,,jcg_heights_table
jcg0101,,130.9917,30.7228,1.17,1.2,,jcg_heights_table
jcg0102,,130.9919,30.7353,1.17,1.2,28.56,jcg_heights_table
jcg0103,,130.2788,30.7806,1.32,1.35,30.22,jcg_heights_table
jcg0104,,129.9554,30.8372,1.38,1.41,30.74,jcg_heights_table
jcg0105,,129.4667,30.8667,1.29,1.32,,jcg_heights_table
jcg0106,,130.6893,31.0235,1.39,1.42,29.56,jcg_heights_table
jcg0107,,130.6833,31.1,1.47,1.5,,jcg_heights_table
jcg0108,,130.6333,31.2,1.51,1.54,,jcg_heights_table
jcg0109,,129.4725,31.2022,1.39,1.42,30.66,jcg_heights_table
jcg0110,根占,130.7667,31.2167,1.45,1.48,,jcg_heights_table
jcg0111,指宿,130.6522,31.2467,1.51,1.54,29.67,jcg_heights_table
jcg0112,,130.2928,31.268,1.47,1.5,30.8,jcg_heights_table
jcg0113,,130.2167,31.2833,1.47,1.5,,jcg_heights_table
jcg0114,波見,131.0178,31.3647,1.13,1.16,29.25,jcg_heights_table
jcg0115,喜入,130.5387,31.3904,1.52,1.55,30.32,jcg_heights_table
jcg0116,鹿屋,130.7667,31.4,1.56,1.59,,jcg_heights_table
jcg0117,,130.1817,31.4222,1.51,1.54,30.99,jcg_heights_table
jcg0118,福島,131.2,31.45,1.13,1.16,,jcg_heights_table
jcg0119,,131.1078,31.4756,1.13,1.16,28.93,jcg_heights_table
jcg0120,谷山,130.5147,31.4825,1.52,1.55,30.54,jcg_heights_table
jcg0121,垂水,130.6925,31.4856,1.51,1.54,30.01,jcg_heights_table
jcg0122,,131.3764,31.5122,1.15,1.18,27.35,jcg_heights_table
jcg0123,,130.7333,31.55,1.59,1.62,,jcg_heights_table
jcg0124,,131.4079,31.579,1.13,1.16,27.31,jcg_heights_table
jcg0125,鹿児島,130.5649,31.5919,1.52,1.55,30.39,jcg_heights_table
jcg0126,園山,130.7,31.6167,1.57,1.6,,jcg_heights_table
jcg0127,手打,129.7132,31.6316,1.5,1.53,30.9,jcg_heights_table
jcg0128,,130.2632,31.713,1.57,1.6,30.93,jcg_heights_table
jcg0129,,130.6667,31.7333,1.57,1.6,,jcg_heights_table
jcg0130,,131.4717,31.7583,1.13,1.16,26.84,jcg_heights_table
jcg0131,里,129.92,31.8466,1.57,1.6,30.89,jcg_heights_table
jcg0132,,130.214,31.8479,1.57,1.6,31.07,jcg_heights_table
jcg0133,,129.85,31.85,1.57,1.6,,jcg_heights_table
jcg0134,,131.4564,31.9028,1.1,1.13,26.98,jcg_heights_table
jcg0135,女島,128.35,32.0,1.35,1.38,,jcg_heights_table
jcg0136,,130.1911,32.0172,1.57,1.6,31.02,jcg_heights_table
jcg0137,,130.3667,32.1833,1.92,1.95,,jcg_heights_table
jcg0138,水俣,130.3667,32.2,1.92,1.95,,jcg_heights_table
jcg0139,牛深,130.0319,32.2019,1.64,1.67,31.0,jcg_heights_table
jcg0140,,130.0667,32.2333,1.72,1.75,,jcg_heights_table
jcg0141,,131.5667,32.25,1.09,1.12,,jcg_heights_table
jcg0142,,130.15,32.3,1.82,1.85,,jcg_heights_table
jcg0143,,130.0167,32.3167,1.64,1.67,,jcg_heights_table
jcg0144,,131.6167,32.3333,1.08,1.11,,jcg_heights_table
jcg0145,田浦,130.5,32.35,1.92,1.95,,jcg_heights_table
jcg0146,,130.35,32.3833,1.92,1.95,,jcg_heights_table
jcg0147,,131.67,32.4286,1.03,1.06,28.52,jcg_heights_table
jcg0148,大門,130.2167,32.4333,2.02,2.05,,jcg_heights_table
jcg0149,本渡,130.2,32.45,2.02,2.05,,jcg_heights_table
jcg0150,苓北,130.05,32.4833,1.63,1.66,,jcg_heights_table
jcg0151,,131.6833,32.5,1.14,1.17,,jcg_heights_table
jcg0152,八代,130.5658,32.5136,2.12,2.15,31.05,jcg_heights_table
jcg0153,,130.0333,32.5167,1.64,1.67,,jcg_heights_table
jcg0154,,130.4333,32.5167,2.04,2.07,,jcg_heights_table
jcg0155,,130.0333,32.5333,1.83,1.86,,jcg_heights_table
jcg0156,,130.4167,32.5333,2.16,2.19,,jcg_heights_table
jcg0157,,129.7833,32.55,1.63,1.66,,jcg_heights_table
jcg0158,鬼池,130.1833,32.55,1.86,1.89,,jcg_heights_table
jcg0159,,129.7833,32.5833,1.63,1.66,,jcg_heights_table
jcg0160,,130.4,32.5833,2.12,2.15,,jcg_heights_table
jcg0161,,130.4667,32.5833,2.14,2.17,,jcg_heights_table
jcg0162,,130.2,32.6,1.91,1.94,,jcg_heights_table
jcg0163,,130.4723,32.6081,2.18,2.21,30.78,jcg_heights_table
jcg0164,富江,128.7667,32.6167,1.58,1.61,,jcg_heights_table
jcg0165,,129.75,32.65,1.57,1.6,,jcg_heights_table
jcg0166,須川,130.3,32.65,2.11,2.14,,jcg_heights_table
jcg0167,玉之浦,128.6667,32.6667,1.53,1.56,,jcg_heights_table
jcg0168,,130.15,32.6833,1.77,1.8,,jcg_heights_table
jcg0169,福江,128.8498,32.6953,1.56,1.59,29.49,jcg_heights_table
jcg0170,,129.7833,32.7,1.61,1.64,,jcg_heights_table
jcg0171,貝津,128.658,32.7171,1.51,1.54,29.11,jcg_heights_table
jcg0172,,129.8689,32.7369,1.61,1.64,31.07,jcg_heights_table
jcg0173,三井楽,128.7,32.75,1.49,1.52,,jcg_heights_table
jcg0174,,129.8167,32.75,1.61,1.64,,jcg_heights_table
jcg0175,,129.95,32.75,1.77,1.8,,jcg_heights_table
jcg0176,熊本,130.5913,32.7637,2.42,2.45,30.26,jcg_heights_table
jcg0177,島原,130.3667,32.7667,2.34,2.37,,jcg_heights_table
jcg0178,,132.9614,32.7772,1.09,1.12,33.53,jcg_heights_table
jcg0179,,130.0833,32.7833,1.77,1.8,,jcg_heights_table
jcg0180,,131.9167,32.7833,1.09,1.12,,jcg_heights_table
jcg0181,,131.9,32.8,1.07,1.1,,jcg_heights_table
jcg0182,,129.75,32.8167,1.67,1.7,,jcg_heights_table
jcg0183,,130.3667,32.8167,2.47,2.5,,jcg_heights_table
jcg0184,船廻湾,128.9333,32.8667,1.57,1.6,,jcg_heights_table
jcg0185,神部,129.0333,32.8667,1.56,1.59,,jcg_heights_table
jcg0186,,130.3,32.8667,2.57,2.6,,jcg_heights_table
jcg0187,若松,129.0167,32.8833,1.59,1.62,,jcg_heights_table
jcg0188,大村,129.95,32.9,0.47,0.5,,jcg_heights_table
jcg0189,,132.0,32.9,1.04,1.07,,jcg_heights_table
jcg0190,長洲,130.45,32.9167,2.47,2.5,,jcg_heights_table
jcg0191,,132.6942,32.9206,1.14,1.17,32.74,jcg_heights_table
jcg0192,,129.6333,32.9333,1.7,1.73,,jcg_heights_table
jcg0193,鯛之浦,129.1,32.95,1.56,1.59,,jcg_heights_table
jcg0194,,132.0667,32.95,1.02,1.05,,jcg_heights_table
jcg0195,,129.0,32.9667,1.57,1.6,,jcg_heights_table
jcg0196,,130.2167,32.9667,2.65,2.68,,jcg_heights_table
jcg0197,,131.9,32.9667,1.02,1.05,,jcg_heights_table
jcg0198,有川,129.1167,32.9833,1.39,1.42,,jcg_heights_table
jcg0199,青方,129.05,33.0,1.57,1.6,,jcg_heights_table
jcg0200,,129.35,33.0,1.57,1.6,,jcg_heights_table
jcg0201,網代,129.7333,33.0,0.47,0.5,,jcg_heights_table
jcg0202,,129.5667,33.0167,1.69,1.72,,jcg_heights_table
jcg0203,三池,130.4167,33.0167,2.62,2.65,,jcg_heights_table
jcg0204,,132.4833,33.0167,1.16,1.19,,jcg_heights_table
jcg0205,,129.6333,33.0333,1.65,1.68,,jcg_heights_table
jcg0206,,133.0597,33.0383,1.09,1.12,34.07,jcg_heights_table
jcg0207,,129.6667,33.05,1.65,1.68,,jcg_heights_table
jcg0208,,129.75,33.05,1.11,1.14,,jcg_heights_table
jcg0209,針尾,129.7667,33.05,0.47,0.5,,jcg_heights_table
jcg0210,,129.6667,33.0667,1.7,1.73,,jcg_heights_table
jcg0211,畑下,129.7333,33.0667,1.5,1.53,,jcg_heights_table
jcg0212,,129.75,33.0667,1.64,1.67,,jcg_heights_table
jcg0213,名倉,129.7667,33.0667,1.23,1.26,,jcg_heights_table
jcg0214,,129.7833,33.0667,0.47,0.5,,jcg_heights_table
jcg0215,小串,129.8167,33.0667,0.47,0.5,,jcg_heights_table
jcg0216,,133.1042,33.0728,1.09,1.12,,jcg_heights_table
jcg0217,,131.8603,33.0731,1.16,1.19,30.99,jcg_heights_table
jcg0218,,133.1132,33.0743,1.09,1.12,34.28,jcg_heights_table
jcg0219,,129.7167,33.0833,1.59,1.62,,jcg_heights_table
jcg0220,,129.75,33.0833,1.56,1.59,,jcg_heights_table
jcg0221,,129.6833,33.1,1.59,1.62,,jcg_heights_table
jcg0222,,139.7667,33.1,0.92,0.95,,jcg_heights_table
jcg0223,,139.7833,33.1,0.92,0.95,,jcg_heights_table
jcg0224,,131.8167,33.1167,1.14,1.17,,jcg_heights_table
jcg0225,,129.8,33.1333,1.42,1.45,,jcg_heights_table
jcg0226,,139.8,33.1333,0.78,0.81,,jcg_heights_table
jcg0227,,129.7369,33.1575,1.62,1.65,,jcg_heights_table
jcg0228,,129.7239,33.1581,1.62,1.65,30.67,jcg_heights_table
jcg0229,,129.6,33.1667,1.61,1.64,,jcg_heights_table
jcg0230,能登,132.2667,33.1667,1.18,1.21,,jcg_heights_table
jcg0231,,129.6333,33.1833,1.69,1.72,,jcg_heights_table
jcg0232,,130.2333,33.1833,2.77,2.8,,jcg_heights_table
jcg0233,笛吹,129.0594,33.1858,1.47,1.5,29.52,jcg_heights_table
jcg0234,,129.3833,33.2,1.54,1.57,,jcg_heights_table
jcg0235,,129.5833,33.2167,1.7,1.73,,jcg_heights_table
jcg0236,,130.35,33.2167,2.71,2.74,,jcg_heights_table
jcg0237,,132.5531,33.2281,1.27,1.3,32.27,jcg_heights_table
jcg0238,,132.5667,33.2333,1.27,1.3,,jcg_heights_table
jcg0239,,131.6881,33.2411,1.27,1.3,,jcg_heights_table
jcg0240,,131.5833,33.25,1.27,1.3,,jcg_heights_table
jcg0241,,131.75,33.25,1.27,1.3,,jcg_heights_table
jcg0242,,131.8833,33.25,1.27,1.3,,jcg_heights_table
jcg0243,鶴崎,131.6864,33.2658,1.27,1.3,30.26,jcg_heights_table
jcg0244,神ノ浦,129.0833,33.2667,1.47,1.5,,jcg_heights_table
jcg0245,平,129.1333,33.2667,1.47,1.5,,jcg_heights_table
jcg0246,,134.1647,33.2667,1.07,1.1,35.73,jcg_heights_table
jcg0247,,134.1658,33.2669,1.07,1.1,,jcg_heights_table
jcg0248,,134.1469,33.2861,1.07,1.1,35.84,jcg_heights_table
jcg0249,,134.1433,33.2928,1.07,1.1,,jcg_heights_table
jcg0250,,131.5,33.3,1.27,1.3,,jcg_heights_table
jcg0251,,129.8167,33.3167,1.37,1.4,,jcg_heights_table
jcg0252,,129.5667,33.3333,1.67,1.7,,jcg_heights_table
jcg0253,,132.3833,33.3333,1.27,1.3,,jcg_heights_table
jcg0254,松浦,129.6833,33.35,1.37,1.4,,jcg_heights_table
jcg0255,田平,129.5761,33.3611,1.52,1.55,,jcg_heights_table
jcg0256,平戸,129.5667,33.3667,1.52,1.55,,jcg_heights_table
jcg0257,,129.6,33.3667,1.37,1.4,,jcg_heights_table
jcg0258,,129.6667,33.3667,1.37,1.4,,jcg_heights_table
jcg0259,,131.5333,33.3667,1.27,1.3,,jcg_heights_table
jcg0260,,132.05,33.3667,1.27,1.3,,jcg_heights_table
jcg0261,,129.5333,33.3833,1.41,1.44,,jcg_heights_table
jcg0262,,129.5667,33.3833,1.37,1.4,,jcg_heights_table
jcg0263,,132.0833,33.3833,1.47,1.5,,jcg_heights_table
jcg0264,,133.3,33.3833,1.09,1.12,,jcg_heights_table
jcg0265,,132.1211,33.3878,1.27,1.3,30.72,jcg_heights_table
jcg0266,,129.7833,33.4,1.37,1.4,,jcg_heights_table
jcg0267,,134.0247,33.4189,1.08,1.11,,jcg_heights_table
jcg0268,,134.0181,33.4206,1.08,1.11,36.27,jcg_heights_table
jcg0269,,129.7833,33.45,1.37,1.4,,jcg_heights_table
jcg0270,,132.25,33.45,1.67,1.7,,jcg_heights_table
jcg0271,,133.4431,33.4503,1.05,1.08,35.21,jcg_heights_table
jcg0272,,132.4133,33.4517,1.27,1.3,31.63,jcg_heights_table
jcg0273,,129.55,33.4667,1.28,1.31,,jcg_heights_table
jcg0274,,129.85,33.4667,1.24,1.27,,jcg_heights_table
jcg0275,,129.95,33.4667,1.15,1.18,,jcg_heights_table
jcg0276,,129.9667,33.4667,1.15,1.18,,jcg_heights_table
jcg0277,,135.8,33.4667,1.03,1.06,,jcg_heights_table
jcg0278,,135.7806,33.4725,1.02,1.05,,jcg_heights_table
jcg0279,串本,135.7844,33.4744,1.02,1.05,37.96,jcg_heights_table
jcg0280,,135.7731,33.4753,1.02,1.05,37.92,jcg_heights_table
jcg0281,,132.3022,33.4875,1.77,1.8,30.58,jcg_heights_table
jcg0282,,133.5675,33.4983,1.05,1.08,35.58,jcg_heights_table
jcg0283,,134.295,33.5436,1.06,1.09,,jcg_heights_table
jcg0284,,134.3006,33.5461,1.06,1.09,36.42,jcg_heights_table
jcg0285,,129.8833,33.55,1.15,1.18,,jcg_heights_table
jcg0286,,135.4881,33.55,1.11,1.14,37.24,jcg_heights_table
jcg0287,,135.4945,33.5528,1.11,1.14,,jcg_heights_table
jcg0288,,135.8956,33.5611,1.02,1.05,38.06,jcg_heights_table
jcg0289,,129.7667,33.5667,1.2,1.23,,jcg_heights_table
jcg0290,,131.7333,33.5667,1.57,1.6,,jcg_heights_table
jcg0291,,131.4333,33.5833,1.87,1.9,,jcg_heights_table
jcg0292,,130.4,33.6,1.07,1.1,,jcg_heights_table
jcg0293,,130.4156,33.6158,1.07,1.1,,jcg_heights_table
jcg0294,,131.25,33.6167,1.97,2.0,,jcg_heights_table
jcg0295,,132.4833,33.6167,1.77,1.8,31.01,jcg_heights_table
jcg0296,,130.4086,33.6183,1.07,1.1,31.59,jcg_heights_table
jcg0297,,131.1333,33.6333,2.07,2.1,,jcg_heights_table
jcg0298,,134.3667,33.6333,1.06,1.09,,jcg_heights_table
jcg0299,,135.95,33.6333,1.06,1.09,38.06,jcg_heights_table
jcg0300,,135.9667,33.65,1.06,1.09,,jcg_heights_table
jcg0301,,134.4167,33.6667,1.06,1.09,,jcg_heights_table
jcg0302,,130.2333,33.6833,0.97,1.0,,jcg_heights_table
jcg0303,,131.5167,33.6833,1.87,1.9,,jcg_heights_table
jcg0304,,135.3833,33.6833,1.07,1.1,37.3,jcg_heights_table
jcg0305,,135.9833,33.6833,1.07,1.1,37.93,jcg_heights_table
jcg0306,,135.4036,33.7175,1.07,1.1,,jcg_heights_table
jcg0307,,134.5319,33.7294,1.05,1.08,36.17,jcg_heights_table
jcg0308,,129.6333,33.7333,1.24,1.27,,jcg_heights_table
jcg0309,,129.75,33.7333,1.17,1.2,,jcg_heights_table
jcg0310,,131.65,33.7333,1.77,1.8,,jcg_heights_table
jcg0311,,132.4833,33.7333,1.77,1.8,,jcg_heights_table
jcg0312,,134.5333,33.7333,1.05,1.08,,jcg_heights_table
jcg0313,,136.0192,33.7381,1.06,1.09,38.15,jcg_heights_table
jcg0314,,129.6833,33.75,1.24,1.27,30.27,jcg_heights_table
jcg0315,,129.7833,33.7833,1.07,1.1,,jcg_heights_table
jcg0316,,132.7,33.7833,1.87,1.9,,jcg_heights_table
jcg0317,,131.0,33.7933,2.07,2.1,30.74,jcg_heights_table
jcg0318,,135.2217,33.8075,1.07,1.1,36.92,jcg_heights_table
jcg0319,芦辺,129.7667,33.8167,0.94,0.97,,jcg_heights_table
jcg0320,,132.1,33.8333,1.67,1.7,,jcg_heights_table
jcg0321,,132.1167,33.8333,1.67,1.7,,jcg_heights_table
jcg0322,勝本,129.7,33.85,1.1,1.13,,jcg_heights_table
jcg0323,,130.4833,33.85,0.92,0.95,,jcg_heights_table
