# Kanto-South tide-station datum table for M7001 → T.P. (tp_minus_cd_m =
# T.P. − 基本水準面, m). Built by scripts/build_z0_table.py from the JCG 一覧表
# (topobathy/data/japan_tide_datums_jcg.csv; source=jcg_heights_table,
# tp = z0_msl − ζ_MSL≈0.03) with exact JMA 潮位表基準面 anchors
# (source=jma_tide_table) for Suruga Bay / Izu Islands / NE Pacific.
# See docs/vertical_datum.md.
station,name_ja,lon,lat,tp_minus_cd_m,z0_msl_m,cd_ellipsoidal_m,source
jcg0222,,139.7667,33.1,0.92,0.95,,jcg_heights_table
jcg0223,,139.7833,33.1,0.92,0.95,,jcg_heights_table
八丈島神湊(JMA),八丈島神湊(JMA),139.8,33.133,0.563,0.593,,jma_tide_table
jcg0340,,139.5833,33.9,0.87,0.9,,jcg_heights_table
三宅島坪田(JMA),三宅島坪田(JMA),139.55,34.05,0.638,0.668,,jma_tide_table
jcg0397,阿古,139.4833,34.0667,0.88,0.91,,jcg_heights_table
jcg0432,,139.1311,34.2089,0.94,0.97,39.81,jcg_heights_table
jcg0488,,139.2167,34.3167,0.94,0.97,,jcg_heights_table
jcg0562,,139.2833,34.5333,0.94,0.97,,jcg_heights_table
御前崎(JMA),御前崎(JMA),138.217,34.617,0.965,0.995,,jma_tide_table
石廊崎(JMA),石廊崎(JMA),138.85,34.617,0.957,0.987,,jma_tide_table
jcg0587,,138.8833,34.65,0.97,1.0,,jcg_heights_table
jcg0591,妻良,138.7833,34.6667,0.95,0.98,,jcg_heights_table
jcg0593,,138.9592,34.6756,0.98,1.01,39.56,jcg_heights_table
jcg0600,,139.4333,34.6833,0.94,0.97,,jcg_heights_table
jcg0612,松崎,138.7667,34.75,0.99,1.02,,jcg_heights_table
jcg0613,,139.35,34.75,0.89,0.92,,jcg_heights_table
jcg0616,,139.05,34.7667,0.96,0.99,,jcg_heights_table
"岡田(伊豆大島,JMA)","岡田(伊豆大島,JMA)",139.383,34.783,0.848,0.878,,jma_tide_table
jcg0622,,138.3,34.7833,0.92,0.95,39.14,jcg_heights_table
jcg0625,田子,138.7667,34.8,0.97,1.0,,jcg_heights_table
jcg0627,,138.7667,34.85,0.91,0.94,,jcg_heights_table
jcg0628,焼津,138.3237,34.8508,0.92,0.95,,jcg_heights_table
jcg0629,,139.1,34.8667,0.93,0.96,,jcg_heights_table
jcg0633,用宗,138.3667,34.9167,0.92,0.95,,jcg_heights_table
jcg0635,,139.9333,34.9167,0.86,0.89,,jcg_heights_table
布良(JMA),布良(JMA),139.833,34.917,0.867,0.897,,jma_tide_table
jcg0636,,139.1333,34.95,0.92,0.95,,jcg_heights_table
jcg0637,,139.9667,34.95,0.87,0.9,,jcg_heights_table
jcg0639,,139.1,34.9667,0.95,0.98,39.09,jcg_heights_table
jcg0640,戸田,138.7833,34.9833,0.92,0.95,,jcg_heights_table
jcg0641,館山,139.8423,34.9891,0.97,1.0,35.19,jcg_heights_table
